Date,Location,Deaths,Injuries,Description
4/12/1994,"Butte, Montana",1,0,"10-year-old Jason Osmanson, teased because his parents have AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center."
4/21/1994,"Nashville, Tennessee",1,0,"14-year-old Jeremy Bryant, killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School."
10/12/1994,"Greensboro, North Carolina",1,1,"After being suspended for smoking, 16-year-old Nicholas Atkinson, returned to Grimsley High School with a 9 mm pistol. After wounding assistant principal, Bill Whites, Atkinson took his own life."
10/17/1994,"Chicago, Illinois",0,1,"A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood."
11/7/1994,"Wickliffe, Ohio",1,4,"Wickliffe Middle School shooting: 37-year-old former student, Keith A. Ledeger, killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody."
12/14/1994,"Albany, New York",0,1,"Ralph J. Tortorici, 26, a military veteran and psychology major at the State University of New York at Albany held hostage a large lecture hall from 9:10 a.m. until 11:30 a.m. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. Tortorici suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence."
1/12/1995,"Seattle, Washington",0,2,A 15-year-old student at Garfield High School left school during the day and returned with his grandfather's handgun. He wounded two students.
9/29/1995,"Tavares, Florida",1,0,"14-year-old student Keith E. Johnson, killed 13-year-old Joey Summerall, at Tavares Middle School with a handgun that he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole."
10/12/1995,"Blackville, South Carolina",2,1,"Blackville-Hilda High School shooting: Suspended student, 16-year-old Toby R. Sincino, killed 56-year-old math teacher, Phyllis Senn, and wounded 38-year-old math teacher, Johhnny Thompson, before committing suicide at Blackville-Hilda High School."
11/15/1995,"Lynnville, Tennessee",2,1,"Richland High School shooting: 17-year-old James Rouse, killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle."
1/19/1996,"Washington, D.C.",1,0,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter, Darrick Evans, was sentenced to 41 years to life in prison."
2/2/1996,"Moses Lake, Washington",3,1,"Frontier Middle School shooting: 14-year-old Barry Loukaitis, killed a teacher and two students and wounded another student when he opened fire on his algebra class. Loukaitis was sentenced to life in prison."
2/29/1996,"St. Louis, Missouri",1,1,"30-year-old Mark Boyd, hired 23-year-old Malik Nettles, to kill 15-year-old Kyunia Taylor, as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by Boyd, a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot, he survived."
8/15/1996,"San Diego, California",3,0,"San Diego State University shooting: At San Diego State University, 36-year-old graduate student, Frederick Martin Davidson, killed three professors, 32-year-old Chen Liang, 44-year-old D. Preston Lowrey III, and 36-year-old Costas Lyrintzis, that he believed were involved in a conspiracy against him. Davidson was sentenced to serve three life terms."
9/17/1996,"State College, Pennsylvania",1,2,"19-year-old Jillian Robbins, killed one student and injured two outside Pennsylvania State University's HUB–Robeson Center."
9/25/1996,"Decatur, Georgia",1,2,"16-year-old David Dubose Jr., killed English teacher, Horace Morgan, on the steps of Dekalb Alternative School. Dubose was found not guilty by reason of insanity and was committed indefinitely to a state mental hospital."
10/9/1996,"Sherwood, Arkansas",1,0,"14-year-old Willis Ward Johnson, killed 20-year-old James Earl Routt, as they rode a school bus."
1/27/1997,"West Palm Beach, Florida",1,0,"14-year-old Conniston Middle School student, Tronneal Mangum, fatally shot 14-year-old classmate, John Pierre Kamel, just minutes before school started, over a $40 debt."
2/19/1997,"Bethel, Alaska",2,2,"Bethel Regional High School shooting: 16-year-old student, Evan Ramsey, killed Bethel Regional High School principal, Ron Edwards, and 15-year-old student, Joshua Palacios, and wounded two other students."
10/1/1997,"Pearl, Mississippi",3,7,"Pearl High School shooting: 16-year-old Luke Woodham, murdered his 50-year-old mother, Mary, at home before killing his ex-girlfriend, 16-year-old student, Christina Menefee, and 17-year-old student, Lydia Kaye Dew, then wounding seven others at Pearl High School."
10/15/1997,"Palmetto, Florida",0,1,"After an argument between them the day before, 13-year-old Brandon Hartsoe took a .38 revolver from his mother's dresser drawer and shot 13-year-old Lincoln Middle School classmate, Trent Murray, in the back causing serious injury, then continued to fire three more shots in the general area of other students. Hartsoe was sentenced in 1998 to serve until his 18th birthday. His probation was set to end in October 2009."
12/1/1997,"West Paducah, Kentucky",3,5,"Heath High School shooting: Three students were killed and five wounded by 14-year-old Michael Carneal, as they participated in a prayer circle. Carneal was sentenced to life in prison."
12/15/1997,"Stamps, Arkansas",0,2,"Concealed in a wooded area on school grounds, 14-year-old Joseph ""Colt"" Todd, wounded two students as they were entering Stamps High School."
3/1/1998,"Philadelphia, Pennsylvania",1,3,"At around 4:15 p.m., gunfire broke out as a crowd streamed from the Palestra after a high school championship basketball game near the University of Pennsylvania. A 22-year-old man was shot in the back and killed, and a student working at the fine arts building was shot in the leg."
3/24/1998,"Craighead County, Arkansas",5,10,"Westside Middle School shootings: 13-year-old Mitchell Johnson, and 11-year-old Andrew Golden, killed a teacher and four students, and wounded ten others, as Westside Middle School emptied during a fire alarm intentionally set off by Golden."
4/24/1998,"Edinboro, Pennsylvania",1,3,"Parker Middle School dance shooting: 14-year-old student, Andrew Wurst, fatally shot 48-year-old teacher, John Gillette, and wounded two students and another teacher at an 8th grade graduation dance. He is serving a thirty to sixty-year sentence in a prison for young offenders."
5/19/1998,"Fayetteville, Tennessee",1,0,"18-year-old Jacob Lee Davis, shot 18-year-old Robert Creson, at Lincoln County High School in a dispute over a girl. Davis received a life sentence on July 29, 1999."
5/21/1998,"Springfield, Oregon",4,23,"Thurston High School shooting: After killing his parents at home, 15-year-old Kip Kinkel, drove to Thurston High School, where he killed two students and wounded 23 others. After pleading guilty, he was sentenced to 111 years of prison."
6/15/1998,"Richmond, Virginia",0,2,"14-year-old student, Quinshawn Brooker, wounded 45-year-old basketball coach and history teacher, Gregory Carter, and 74-year-old Head Start volunteer, Eloise Wilson, in the hallway of Armstrong High School."
12/10/1998,"Detroit, Michigan",1,0,"52-year-old Professor Andrzej Olbrot, was killed by 48-year-old graduate doctoral student, Wlodzimierz Dedecjusat, at Wayne State University."
1/8/1999,"Carrollton, Georgia",2,0,"15-year-old Andrea Garrett was found dead and 17-year-old Jeff Miller seriously wounded in the girls' restroom at Central Carrollton County High School, after a suspected suicide pact. Miller died the next day."
4/16/1999,"Notus, Idaho",0,0,"15-year-old Shawn Cooper, fired two shots from a shotgun near the front desk at Notus Jr. Sr. High School. There were no serious injuries, but some students were close enough to the blast to be grazed by shrapnel from the tile floor. Cooper had been undergoing treatment for bipolar disorder."
4/20/1999,"Littleton, Colorado",15,21,"Columbine High School massacre: 18-year-old Eric Harris and 17-year-old Dylan Klebold, students at Columbine High School, killed twelve students and one teacher. They injured 21 additional people, and three more were injured while attempting to escape the school. The pair committed suicide at the end of the massacre."
5/20/1999,"Conyers, Georgia",0,6,"15-year-old student Thomas ""T.J."" Solomon Jr., wounded six students at Heritage High School. A 15-year-old girl was hospitalized in critical condition, and the other victims suffered from non-life-threatening injuries. Solomon initially faced up to 351 years of prison if convicted of aggravated assault and other charges. In 2000 he was found guilty but mentally ill and was sentenced to forty years in prison and sixty-five years of probation."
7/4/1999,"Bloomington, Indiana",1,0,"A Korean computer science graduate student attending Indiana University was killed by white supremacist Benjamin Nathaniel Smith, a former Indiana University student, while he was on his way to services at the Korean United Methodist Church near the Indiana University campus
[315]"
11/19/1999,"Deming, New Mexico",1,0,"13-year-old Victor Cordova Jr., fatally shot 13-year-old Deming Middle School schoolmate, Araceli Tena. Cordova said he had intended to commit suicide but was jostled by others and his gun moved."
12/6/1999,"Fort Gibson, Oklahoma",0,6,"Before his middle school opened, 13-year-old Seth Trickey opened fire in the courtyard. While there were no fatalities, several students felt sparks from the bullets hitting the building walls. Five were injured, including a girl who was shot in the face. Trickey brought the gun from home."
2/29/2000,"Flint, Michigan",1,0,"Shooting of Kayla Rolland: At Buell Elementary School,
6-year-old Dedrick Owens fatally shot 6-year-old classmate Kayla Rolland. Owens has since been the youngest documented school shooter.[318]"
5/26/2000,"Lake Worth, Florida",1,0,"13-year-old honor student, Nathaniel Brazill, was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, a popular teacher, he was Brazill's favorite."
6/28/2000,"Seattle, Washington",2,0,"58-year-old Director of the Division of Pathology of the University of Washington Medical Center, Rodger C. Haggitt, M. D., was shot dead by 42-year-old Chinese (Taiwan) emigrant and then U. S. citizen, Jian Chen, M. D., who had just completed his second year of forensic pathology residency training and had been notified of his contract non-renewal (which Dr. Chen wrote would dishonor his family). Dr. Haggitt would later be honored with his name upon the History of the Rodger C. Haggitt Gastrointestinal Pathology Society."
8/28/2000,"Fayetteville, Arkansas",2,0,"36-year-old James Easton Kelly, a PhD candidate in Comparative Literature at University of Arkansas, killed 67-year-old Dr. John R. Locke, the English professor overseeing his coursework. Kelly had been dismissed from this PhD program for lack of progress toward his degree. Kelly shot Dr. Locke three times before committing suicide in the director's office, which had been isolated by campus police."
9/26/2000,"New Orleans, Louisiana",0,2,"13 year-olds Darrel Johnson, and Alfred Anderson were initially charged with attempted first-degree murder in the shooting of 15 year-old William Pennington. Pennington, after being shot, managed to gain control of the gun and shoot Johnson in the back. Charges were later reduced to Aggravated Battery."
12/1/2000,"San Diego, California",0,1,"A 15-year-old Junipero Serra High School student who showed off a handgun on campus and threatened to shoot a classmate, ended up accidentally shooting himself, causing minor injuries."
